geneNames	GSM610737	GSM610738	GSM435828	GSM435833	GSM610718	GSM610690	GSM435823	GSM435824	GSM435825	GSM435826	GSM435827	GSM610691	GSM435821	GSM435822	GSM610695	GSM610696	GSM610717
ABHD2	7.880018692	14.27951762	9.93186246	10.85222333	2.554890702	2.945160635	1.999186778	3.950479551	4.236064039	3.611473143	2.91614611	4.636576273	4.663740104	4.158052458	3.50849997	3.488954864	3.299073639
ABHD3	1.317662167	3.273589175	0.933942749	2.122225218	0.637351769	0.802120883	0.933734577	0.792100568	1.633281461	1.574130455	0.63750516	1.274498475	1.91786925	2.418601003	2.231865447	1.33379074	1.295278456
ABHD4	3.525749765	2.148738113	3.828021021	3.050407354	2.677186453	3.26423154	4.861596462	2.94493834	3.36072407	3.295247179	2.543849018	2.068021092	4.328069584	4.28877814	2.711037625	3.499815497	4.6122893
ABHD5	4.026064659	5.572195207	3.829117019	6.054009848	3.390636774	2.235074309	0.941399044	2.842960296	2.567028775	2.718444949	2.327970887	7.063649002	4.063111899	4.443378662	4.312818016	4.499163347	2.442679005
ABHD6	3.422052409	6.849665396	2.244323643	4.156231678	1.305319373	7.166045185	5.641550579	3.606824917	6.879598432	8.509217442	4.373060204	4.238773188	8.605300794	9.518433752	5.353943646	5.904532832	5.104711634
ABHD8	2.069613126	2.03896941	0.129385749	1.360271693	1.107598145	2.483162498	0.128059032	2.366679432	5.294292323	4.361116956	2.809576885	2.071946133	2.22217304	3.188895574	3.07391335	3.562032009	1.944830614
ABI1	1.720818555	2.821235741	0.993165468	1.968080671	1.04052022	1.12873375	1.693604271	1.207643688	1.893912287	1.909378073	1.114243375	1.953175193	3.211938444	3.773995412	2.906212853	2.479254095	1.850824178
ABI2	3.638282371	7.078262103	2.622932357	4.166742752	2.815487242	3.407243024	1.503517275	3.331594816	3.588118996	2.611954889	2.580122846	4.664768367	2.692379194	4.23569524	3.980566683	4.426981981	2.489465325
ABI3	11.04328225	3.517783901	4.646942446	2.099282809	8.719160555	10.96768103	19.48674914	15.6164962	20.09838013	23.60512315	13.1777414	26.84026559	29.08960956	24.48772233	19.69754226	19.81452939	27.99992427
ABI3BP	0.586181173	0.355956074	0.583314832	0.462593245	1.286186209	0.216127259	0.501976851	0.294871087	0.173891225	0.284929458	0.130197192	0.601929022	0.384655833	0.507864791	0.45041412	0.564638827	0.401035217
ABL1	1.317249621	1.55041134	-0.161151079	1.688037756	0.329827404	2.090152738	1.046114018	2.250874412	2.826525624	2.608555274	2.387299606	1.946117061	2.98367832	2.440703674	3.384460816	3.913423765	2.558863011
ABL2	2.005511841	2.186902073	1.604377143	2.667902075	2.050927843	2.479849045	0.583150195	1.761039508	2.191700045	1.173188509	1.332516881	2.192529033	2.094136234	1.974924242	2.477572811	2.616952008	1.288127936
ABLIM1	3.807159804	9.481912706	1.668147026	8.734869175	3.535655523	2.898611471	1.249966446	3.960754494	5.342711534	2.145650995	2.870752329	2.667971399	2.323897101	2.654688307	3.733542173	5.751013616	1.139880943
ABLIM2	1.252882418	1.209270656	0.383031348	1.092428098	0.411755162	1.265169347	1.097017016	0.656382352	1.107103121	0.597636975	0.300950901	1.917968933	2.480234063	2.196557791	1.83577402	2.142428761	1.02424901
ABLIM3	3.71025114	9.550915045	3.74398694	11.40273768	3.43669711	2.406199454	0.559959471	2.188670764	3.045388052	2.481204692	2.791257872	2.955408714	3.951261405	3.357095015	2.871047257	3.930652285	1.517016345
ABO	1.792926492	1.50726576	2.219011002	1.983990475	2.799939821	1.654299226	1.915586891	1.632726026	1.988929376	2.004189842	1.273327067	2.290879368	2.545522098	2.188767564	2.19570814	2.130854692	3.027351497
ABR	3.046809178	1.102831362	3.457927018	2.382662127	2.528991272	2.6907438	1.410935999	2.108647504	1.653985215	3.086535188	1.974697235	0.810842373	2.305171656	1.276542713	1.623964316	1.088724298	1.091230375
ABRA	0.324451009	-0.005080644	0.546402878	0.758335747	0.661534363	0.218755766	0.603527414	0.464799887	0.360685233	0.170746531	0.579900485	0.128128309	0.278571352	0.381826766	0.104712606	0.193711369	0.436094878
ABRACL	10.01521104	10.47257216	4.260637506	16.70395007	7.224597438	2.518677953	3.914469187	3.091506456	2.931074456	2.184416292	1.950218201	9.341876502	9.595191314	5.27069166	6.830656777	4.986337263	4.225130553
ABT1	17.42815317	12.76107891	13.60071942	14.50011375	8.745923228	9.571587305	4.261230209	8.382446711	11.3522614	10.41003269	9.480748601	12.91255465	16.35877364	16.65201614	17.14206386	14.70650572	10.30912754
